exepolsoc,26/02/2024 17:20,International Women’s Day is coming up! 💜  Join us along with some of the best political feminist and equality focused societies in Exeter to celebrate women and non-binary people this International Women’s Day! 🕺  Come along to The Ram for some IWD quizzing curly fries and the chance to win some prizes 🏆  Tickets are live on the UoE Politics FIXR now all proceeds from tickets will be going towards UN Women. We only have a limited number of tickets on sale so get them for you and all your pals before they sell out!   Date: 07/03/2024 Time: 7:00pm Location: The Ram stretch tent  Tickets: £2 via FIXR,https://www.instagram.com/p/C30aC8yL7O5,invites,date,location,no loose,future
exepolsoc,23/02/2024 18:34,Join PolSoc and LabourSoc for an amazing academic event to celebrate International Women’s Day!! 💚🤍💜  Hear from Professors Sarah Lucas and Kate Townsend as well as special parliamentary guests Claire Hazelgrove and Emma McNicholas. Also we will have a panel and Q&A where you can ask questions to our esteemed guests!   We will have free pizza and drinks and can’t wait to see you all there! 🍕  Tickets: Free via UoE Politics Society FIXR Time: 6:30pm-8:30pm  Date: 4th March  Location: Queens LT1,https://www.instagram.com/p/C3s0LTJLcIP,invites,date,location,no loose,future
exepolsoc,27/02/2024 18:00,🏳️‍⚧️🏳️‍🌈LGBTQ+ HISTORY MONTH SPOTLIGHT🏳️‍🌈🏳️‍⚧️  Swipe to read about Leo Vardkar the first openly gay Prime Minister of The Republic of Ireland!,https://www.instagram.com/p/C33DcwBLODi
exepolsoc,26/02/2024 09:00,Today marks the start of Eating Disorder Awareness Week 2024 🩵  Swipe through to find out about the theme of EDAW 2024 Avoidant/Restrictive Food Intake Disorder; some statistics and common myths about eating disorders; and information on ED charities that can inform and support you 🩵  Sources from the post:  edaw.beageatingdisorders.org.uk  rethink.org/campaigns-policy/awareness-days-and-events/eating-disorders-week  beateatingdisorders.org.uk  themix.org.uk/mental-health/eating-disorders/ambassador-voices-the-myths-about-eating-disorders  eatingdisoederssupport.co.uk  @recoveringwithmia,https://www.instagram.com/p/C3zg5haredW
exepolsoc,22/02/2024 20:00,Hey PolSoccers! 🩵  We’re collabing with BodySoc for a Pilates class next week!  During this busy second term where assignments are getting heavy dissertation stress is eating up our final years it’s so important to make room to prioritise your mental health. 🧠 So come along to this well-being event where Emily body society’s Pilates instructor and long time friend of PolSoc will take you through a class to reconnect with your mind and your body. There will be room for all levels of skill and experience so whether you’re a Pilates pro or a total beginner you’ll get something out of this class! 🧘‍♀️  Tickets will be available on the UoE Body Society FIXR page from Sunday! 💚,https://www.instagram.com/p/C3lPnh4ryKP
exepolsoc,21/02/2024 18:00,🏳️‍⚧️🏳️‍🌈LGBTQ+ HISTORY MONTH SPOTLIGHT🏳️‍🌈🏳️‍⚧️  Swipe to read all about Geraldine Roman the first openly transgender woman to serve in the Congress of the Philippines!   Don’t forget to grab your ticket before our LGBTQ+ History Month event in collaboration with @lgbtqsocietyexeter @qbexeter @angelsocexeter TOMORROW! We’ll be screening “The Watermelon Woman” an iconic landmark in LGBTQ+ Cinema!,https://www.instagram.com/p/C3nmoPKIdwH
exepolsoc,16/02/2024 14:39,The day is finally here…. GET YOUR STASH!  Click on the link to see your options!   https://redbirdapparel.co.uk/collections/university-of-exeter-politics-society,https://www.instagram.com/p/C3aXqPhImxV
exepolsoc,12/02/2024 18:00,🏳️‍⚧️🏳️‍🌈LGBTQ+ HISTORY MONTH SPOTLIGHT🏳️‍🌈🏳️‍⚧️  Swipe to read about Lisa Power MBE Co-Founder of Stonewall!,https://www.instagram.com/p/C3QbiKSreMa
exepolsoc,12/02/2024 15:30,🏳️‍🌈🏳️‍⚧️LGBTQ+ History Month: QUEER CINEMA MOVIE NIGHT🏳️‍⚧️🏳️‍🌈  Hey all!   In honour of LGBTQ+ History Month we’re hosting a movie night next Thursday in collaboration with @exepolsoc @lgbtqsocietyexeter @qbexeter @angelsocexeter   Book your ticket on the University of Exeter Politics Society Fixr Page all society proceeds go to Proud2Be!  Swipe along to find out about the movie we’re showing and the charity we’re fundraising for!,https://www.instagram.com/p/C3QKZMwIOjD
exepolsoc,05/02/2024 18:00,🏳️‍⚧️🏳️‍🌈LGBTQ+ HISTORY MONTH SPOTLIGHT🏳️‍🌈🏳️‍⚧️  Over the following month we’ll be spotlighting LGBTQ+ figures in politics that have changed history!   Swipe through to read about Lady Phyll co-founder of Black Pride!,https://www.instagram.com/p/C2-Z_2_o7sI
exeterpolishsociety,13/02/2024 20:49,🇬🇧 — Join us this Friday 16th for a chill evening of games and activities at The Depot Student Accomodation. We'll play some games (board games table tennis pool ...) to enjoy a nice end of week and the beauty of being in the week end 🥳  📆 Date: Friday 16th March  📍Location : The Depot Student Accomodation  🕝 Time : 8pm,https://www.instagram.com/p/C3TTrFzLn61
exeterpolishsociety,13/02/2024 14:29,🇬🇧 — Time to meet our new committee members 🥳. Today we welcome Dominik who's joining us alongside Anna as your new Social Secretary.,https://www.instagram.com/p/C3SoMoCo3cb
